CellLine,Chromosome
CCLE_001,21
CCLE_002,16
CCLE_003,22
CCLE_004,18
CCLE_005,22
CCLE_006,12
CCLE_007,23
CCLE_008,19
CCLE_009,22
CCLE_010,20
CCLE_011,21
CCLE_012,20
CCLE_013,22
CCLE_014,17
CCLE_015,20
CCLE_016,15
CCLE_017,19
CCLE_018,17
CCLE_019,21
CCLE_020,21
CCLE_021,18
CCLE_022,20
CCLE_023,20
CCLE_024,18
CCLE_025,19
CCLE_026,20
CCLE_027,20
CCLE_028,18
CCLE_029,21
CCLE_030,19
CCLE_031,20
CCLE_032,17
CCLE_033,20
CCLE_034,16
CCLE_035,23
CCLE_036,21
CCLE_037,21
CCLE_038,23
CCLE_039,19
CCLE_040,19
CCLE_041,16
CCLE_042,18
CCLE_043,16
CCLE_044,21
CCLE_045,18
CCLE_046,12
CCLE_047,19
CCLE_048,12
CCLE_049,19
CCLE_050,20
CCLE_051,21
CCLE_052,19
CCLE_053,17
CCLE_054,21
CCLE_055,19
CCLE_056,19
CCLE_057,18
CCLE_058,20
CCLE_059,18
CCLE_060,21
CCLE_061,22
CCLE_062,19
CCLE_063,19
CCLE_064,21
CCLE_065,19
CCLE_066,16
CCLE_067,21
CCLE_068,19
CCLE_069,19
CCLE_070,22
CCLE_071,14
CCLE_072,18
CCLE_073,22
CCLE_074,21
CCLE_075,23
CCLE_076,19
CCLE_077,17
CCLE_078,17
CCLE_079,21
CCLE_080,12
CCLE_081,21
CCLE_082,21
CCLE_083,14
CCLE_084,17
CCLE_085,16
CCLE_086,19
CCLE_087,21
CCLE_088,21
CCLE_089,19
CCLE_090,21
CCLE_091,22
CCLE_092,20
CCLE_093,15
CCLE_094,22
CCLE_095,21
CCLE_096,16
CCLE_097,14
CCLE_098,18
CCLE_099,18
CCLE_100,11
CCLE_101,23
CCLE_102,21
CCLE_103,19
CCLE_104,21
CCLE_105,19
CCLE_106,21
CCLE_107,12
CCLE_108,18
CCLE_109,12
CCLE_110,19
CCLE_111,19
CCLE_112,15
CCLE_113,19
CCLE_114,20
CCLE_115,19
CCLE_116,19
CCLE_117,19
CCLE_118,17
CCLE_119,17
CCLE_120,18
CCLE_121,23
CCLE_122,19
CCLE_123,13
CCLE_124,16
CCLE_125,20
CCLE_126,18
CCLE_127,21
CCLE_128,21
CCLE_129,17
CCLE_130,20
CCLE_131,19
CCLE_132,20
CCLE_133,19
CCLE_134,20
CCLE_135,17
CCLE_136,20
CCLE_137,21
CCLE_138,20
CCLE_139,19
CCLE_140,19
CCLE_141,20
CCLE_142,21
CCLE_143,14
CCLE_144,17
CCLE_145,20
CCLE_146,21
CCLE_147,19
CCLE_148,17
CCLE_149,17
CCLE_150,21
CCLE_151,20
CCLE_152,19
CCLE_153,22
CCLE_154,16
CCLE_155,19
CCLE_156,20
CCLE_157,21
CCLE_158,21
CCLE_159,20
CCLE_160,20
CCLE_161,19
CCLE_162,19
CCLE_163,19
CCLE_164,20
CCLE_165,17
CCLE_166,14
CCLE_167,21
CCLE_168,18
CCLE_169,17
CCLE_170,13
CCLE_171,19
CCLE_172,19
CCLE_173,20
CCLE_174,21
CCLE_175,22
CCLE_176,19
CCLE_177,21
CCLE_178,19
CCLE_179,22
CCLE_180,21
CCLE_181,20
CCLE_182,23
CCLE_183,13
CCLE_184,21
CCLE_185,17
CCLE_186,17
CCLE_187,17
CCLE_188,22
CCLE_189,17
CCLE_190,13
CCLE_191,19
CCLE_192,20
CCLE_193,16
CCLE_194,19
CCLE_195,20
CCLE_196,20
CCLE_197,7
CCLE_198,19
CCLE_199,21
CCLE_200,16
CCLE_201,21
CCLE_202,16
CCLE_203,21
CCLE_204,17
CCLE_205,20
CCLE_206,18
CCLE_207,15
CCLE_208,22
CCLE_209,21
CCLE_210,19
CCLE_211,21
CCLE_212,15
CCLE_213,19
CCLE_214,17
CCLE_215,20
CCLE_216,18
CCLE_217,18
CCLE_218,17
CCLE_219,19
CCLE_220,13
CCLE_221,19
CCLE_222,22
CCLE_223,17
CCLE_224,19
CCLE_225,17
CCLE_226,22
CCLE_227,23
CCLE_228,15
CCLE_229,21
CCLE_230,22
CCLE_231,17
CCLE_232,21
CCLE_233,17
CCLE_234,20
CCLE_235,17
CCLE_236,15
CCLE_237,20
CCLE_238,16
CCLE_239,21
CCLE_240,18
CCLE_241,17
CCLE_242,17
CCLE_243,21
CCLE_244,20
CCLE_245,22
CCLE_246,20
CCLE_247,14
CCLE_248,14
CCLE_249,16
CCLE_250,20
CCLE_251,23
CCLE_252,21
CCLE_253,17
CCLE_254,20
CCLE_255,18
CCLE_256,19
CCLE_257,18
CCLE_258,18
CCLE_259,21
CCLE_260,21
CCLE_261,19
CCLE_262,21
CCLE_263,15
CCLE_264,20
CCLE_265,17
CCLE_266,18
CCLE_267,16
CCLE_268,23
CCLE_269,23
CCLE_270,20
CCLE_271,22
CCLE_272,20
CCLE_273,18
CCLE_274,15
CCLE_275,20
CCLE_276,20
CCLE_277,13
CCLE_278,22
CCLE_279,21
CCLE_280,19
CCLE_281,19
CCLE_282,18
CCLE_283,16
CCLE_284,16
CCLE_285,21
CCLE_286,21
CCLE_287,18
CCLE_288,19
CCLE_289,19
CCLE_290,11
CCLE_291,21
CCLE_292,14
CCLE_293,19
CCLE_294,21
CCLE_295,20
CCLE_296,21
CCLE_297,22
CCLE_298,16
CCLE_299,18
CCLE_300,19
CCLE_301,15
CCLE_302,17
CCLE_303,18
CCLE_304,14
CCLE_305,17
CCLE_306,19
CCLE_307,17
CCLE_308,11
CCLE_309,20
CCLE_310,19
CCLE_311,15
CCLE_312,20
CCLE_313,17
CCLE_314,21
CCLE_315,18
CCLE_316,23
CCLE_317,20
CCLE_318,15
CCLE_319,20
CCLE_320,19
CCLE_321,20
CCLE_322,16
CCLE_323,22
CCLE_324,19
CCLE_325,20
CCLE_326,12
CCLE_327,21
CCLE_328,18
CCLE_329,18
CCLE_330,19
CCLE_331,23
CCLE_332,19
CCLE_333,17
CCLE_334,15
CCLE_335,14
CCLE_336,16
CCLE_337,14
CCLE_338,22
CCLE_339,18
CCLE_340,19
CCLE_341,23
CCLE_342,21
CCLE_343,21
CCLE_344,20
CCLE_345,18
CCLE_346,23
CCLE_347,20
CCLE_348,21
CCLE_349,21
CCLE_350,17
CCLE_351,18
CCLE_352,21
CCLE_353,20
CCLE_354,13
CCLE_355,18
CCLE_356,10
CCLE_357,19
CCLE_358,20
CCLE_359,17
CCLE_360,21
CCLE_361,18
CCLE_362,19
CCLE_363,18
CCLE_364,19
CCLE_365,18
CCLE_366,18
CCLE_367,20
CCLE_368,17
CCLE_369,19
CCLE_370,22
CCLE_371,18
CCLE_372,22
CCLE_373,18
CCLE_374,19
CCLE_375,23
CCLE_376,19
CCLE_377,13
CCLE_378,23
CCLE_379,18
CCLE_380,22
CCLE_381,21
CCLE_382,20
CCLE_383,19
CCLE_384,21
CCLE_385,16
CCLE_386,22
CCLE_387,21
CCLE_388,19
CCLE_389,17
CCLE_390,22
CCLE_391,17
CCLE_392,23
CCLE_393,21
CCLE_394,19
CCLE_395,22
CCLE_396,18
CCLE_397,22
CCLE_398,20
CCLE_399,20
CCLE_400,17
CCLE_401,21
CCLE_402,19
CCLE_403,20
CCLE_404,18
CCLE_405,21
CCLE_406,16
CCLE_407,14
CCLE_408,18
CCLE_409,18
CCLE_410,20
CCLE_411,23
CCLE_412,17
CCLE_413,19
CCLE_414,22
CCLE_415,16
CCLE_416,20
CCLE_417,22
CCLE_418,21
CCLE_419,16
CCLE_420,17
CCLE_421,20
CCLE_422,19
CCLE_423,18
CCLE_424,21
CCLE_425,18
CCLE_426,21
CCLE_427,12
CCLE_428,17
CCLE_429,19
CCLE_430,20
CCLE_431,22
CCLE_432,21
CCLE_433,22
CCLE_434,16
CCLE_435,19
CCLE_436,20
CCLE_437,18
CCLE_438,22
CCLE_439,11
CCLE_440,17
CCLE_441,12
CCLE_442,18
CCLE_443,21
CCLE_444,21
CCLE_445,13
CCLE_446,14
CCLE_447,13
CCLE_448,20
CCLE_449,16
CCLE_450,19
CCLE_451,19
CCLE_452,22
CCLE_453,21
CCLE_454,20
CCLE_455,17
CCLE_456,20
CCLE_457,20
CCLE_458,19
CCLE_459,20
CCLE_460,19
CCLE_461,17
CCLE_462,13
CCLE_463,21
CCLE_464,19
CCLE_465,18
CCLE_466,14
CCLE_467,17
CCLE_468,20
CCLE_469,19
CCLE_470,21
CCLE_471,20
CCLE_472,20
CCLE_473,18
CCLE_474,21
CCLE_475,20
CCLE_476,19
CCLE_477,16
CCLE_478,21
CCLE_479,17
CCLE_480,19
CCLE_481,19
CCLE_482,20
CCLE_483,19
CCLE_484,19
CCLE_485,18
CCLE_486,19
CCLE_487,18
CCLE_488,19
CCLE_489,19
CCLE_490,16
CCLE_491,19
CCLE_492,19
CCLE_493,14
CCLE_494,18
CCLE_495,18
CCLE_496,11
CCLE_497,12
CCLE_498,18
CCLE_499,18
CCLE_500,18
CCLE_501,16
CCLE_502,20
CCLE_503,22
CCLE_504,19
CCLE_505,19
CCLE_506,17
CCLE_507,20
CCLE_508,19
CCLE_509,17
CCLE_510,18
CCLE_511,22
CCLE_512,21
CCLE_513,18
CCLE_514,19
CCLE_515,18
CCLE_516,18
CCLE_517,19
CCLE_518,21
CCLE_519,22
CCLE_520,17
CCLE_521,22
CCLE_522,19
CCLE_523,20
CCLE_524,20
CCLE_525,15
CCLE_526,20
CCLE_527,18
CCLE_528,15
CCLE_529,15
CCLE_530,19
CCLE_531,20
CCLE_532,19
CCLE_533,15
CCLE_534,18
CCLE_535,16
CCLE_536,20
CCLE_537,21
CCLE_538,21
CCLE_539,18
CCLE_540,22
CCLE_541,19
CCLE_542,21
CCLE_543,17
CCLE_544,19
CCLE_545,19
CCLE_546,20
CCLE_547,17
CCLE_548,19
CCLE_549,22
CCLE_550,18
CCLE_551,20
CCLE_552,20
CCLE_553,15
CCLE_554,20
CCLE_555,19
CCLE_556,21
CCLE_557,14
CCLE_558,19
CCLE_559,20
CCLE_560,19
CCLE_561,20
CCLE_562,22
CCLE_563,16
CCLE_564,20
CCLE_565,21
CCLE_566,17
CCLE_567,17
CCLE_568,19
CCLE_569,20
CCLE_570,21
CCLE_571,20
CCLE_572,17
CCLE_573,22
CCLE_574,21
CCLE_575,18
CCLE_576,14
CCLE_577,21
CCLE_578,23
CCLE_579,15
CCLE_580,18
CCLE_581,16
CCLE_582,21
CCLE_583,19
CCLE_584,20
CCLE_585,17
CCLE_586,14
CCLE_587,15
CCLE_588,19
CCLE_589,14
CCLE_590,18
CCLE_591,19
CCLE_592,22
CCLE_593,10
CCLE_594,18
CCLE_595,21
CCLE_596,20
CCLE_597,17
CCLE_598,21
CCLE_599,20
CCLE_600,21
CCLE_601,20
CCLE_602,20
CCLE_603,17
CCLE_604,21
CCLE_605,19
CCLE_606,20
CCLE_607,16
CCLE_608,22
CCLE_609,18
CCLE_610,16
CCLE_611,21
CCLE_612,21
CCLE_613,15
CCLE_614,19
CCLE_615,19
CCLE_616,16
CCLE_617,23
CCLE_618,22
CCLE_619,21
CCLE_620,14
CCLE_621,19
CCLE_622,21
CCLE_623,17
CCLE_624,23
CCLE_625,23
CCLE_626,21
CCLE_627,19
CCLE_628,22
CCLE_629,18
CCLE_630,21
CCLE_631,21
CCLE_632,16
CCLE_633,18
CCLE_634,20
CCLE_635,17
CCLE_636,22
CCLE_637,19
CCLE_638,20
CCLE_639,22
CCLE_640,18
CCLE_641,20
CCLE_642,16
CCLE_643,12
CCLE_644,20
CCLE_645,21
CCLE_646,21
CCLE_647,20
CCLE_648,22
CCLE_649,18
CCLE_650,19
CCLE_651,20
CCLE_652,16
CCLE_653,17
CCLE_654,22
CCLE_655,21
CCLE_656,21
CCLE_657,15
CCLE_658,18
CCLE_659,18
CCLE_660,22
CCLE_661,16
CCLE_662,21
CCLE_663,22
CCLE_664,14
CCLE_665,17
CCLE_666,23
CCLE_667,22
CCLE_668,21
CCLE_669,18
CCLE_670,21
CCLE_671,18
CCLE_672,19
CCLE_673,14
CCLE_674,18
CCLE_675,14
CCLE_676,18
CCLE_677,23
CCLE_678,21
CCLE_679,19
CCLE_680,22
CCLE_681,12
CCLE_682,15
CCLE_683,19
CCLE_684,22
CCLE_685,17
CCLE_686,15
CCLE_687,20
CCLE_688,17
CCLE_689,21
CCLE_690,16
CCLE_691,19
CCLE_692,18
CCLE_693,22
CCLE_694,11
CCLE_695,22
CCLE_696,16
CCLE_697,22
CCLE_698,8
CCLE_699,14
CCLE_700,15
CCLE_701,16
CCLE_702,14
CCLE_703,17
CCLE_704,22
CCLE_705,21
CCLE_706,22
CCLE_707,14
CCLE_708,20
CCLE_709,19
CCLE_710,16
CCLE_711,22
CCLE_712,20
CCLE_713,22
CCLE_714,21
CCLE_715,22
CCLE_716,14
CCLE_717,22
CCLE_718,18
CCLE_719,19
CCLE_720,20
CCLE_721,16
CCLE_722,22
CCLE_723,21
CCLE_724,17
CCLE_725,22
CCLE_726,15
CCLE_727,22
CCLE_728,20
CCLE_729,20
CCLE_730,22
CCLE_731,16
CCLE_732,19
CCLE_733,17
CCLE_734,20
CCLE_735,22
CCLE_736,18
CCLE_737,21
CCLE_738,20
CCLE_739,21
CCLE_740,17
CCLE_741,18
CCLE_742,20
CCLE_743,21
CCLE_744,13
CCLE_745,20
CCLE_746,22
CCLE_747,19
CCLE_748,19
CCLE_749,17
CCLE_750,6
CCLE_751,20
CCLE_752,11
CCLE_753,18
CCLE_754,21
CCLE_755,20
CCLE_757,21
CCLE_758,13
CCLE_759,21
CCLE_760,15
CCLE_761,18
CCLE_762,22
CCLE_763,16
CCLE_764,21
CCLE_765,18
CCLE_766,22
CCLE_767,12
CCLE_768,18
CCLE_769,20
CCLE_770,19
CCLE_771,22
CCLE_772,14
CCLE_773,20
CCLE_774,19
CCLE_775,22
CCLE_776,18
CCLE_777,21
CCLE_778,22
CCLE_779,17
CCLE_780,19
CCLE_781,20
CCLE_782,23
CCLE_783,18
CCLE_784,20
CCLE_785,19
CCLE_786,20
CCLE_788,18
CCLE_789,12
CCLE_790,19
CCLE_791,21
CCLE_792,22
CCLE_793,15
CCLE_794,20
CCLE_795,13
CCLE_796,19
CCLE_797,20
CCLE_798,20
CCLE_799,18
CCLE_800,21
CCLE_801,20
CCLE_802,21
CCLE_803,19
CCLE_804,20
CCLE_805,18
CCLE_806,21
CCLE_807,19
CCLE_808,19
CCLE_809,21
CCLE_810,17
CCLE_811,16
CCLE_812,21
CCLE_813,22
CCLE_814,20
CCLE_815,19
CCLE_816,18
CCLE_817,19
CCLE_818,18
CCLE_819,18
CCLE_820,18
CCLE_821,24
CCLE_822,20
CCLE_823,21
CCLE_824,20
CCLE_825,20
CCLE_826,22
CCLE_827,19
CCLE_828,21
CCLE_829,18
CCLE_830,14
CCLE_831,18
CCLE_832,21
CCLE_833,13
CCLE_834,21
CCLE_835,22
CCLE_836,18
CCLE_837,20
CCLE_838,18
CCLE_839,23
CCLE_840,21
CCLE_841,14
CCLE_842,23
CCLE_843,16
CCLE_844,21
CCLE_845,19
CCLE_846,18
CCLE_847,19
CCLE_848,21
CCLE_849,19
CCLE_850,20
CCLE_851,21
CCLE_852,22
CCLE_853,19
CCLE_854,12
CCLE_855,22
CCLE_856,22
CCLE_857,20
CCLE_858,19
CCLE_859,21
CCLE_860,17
CCLE_861,21
CCLE_862,21
CCLE_863,21
CCLE_864,13
CCLE_865,19
CCLE_866,18
CCLE_867,20
CCLE_868,17
CCLE_869,18
CCLE_870,18
CCLE_871,22
CCLE_872,12
CCLE_873,17
CCLE_874,18
CCLE_875,14
CCLE_876,15
CCLE_877,21
CCLE_878,22
CCLE_879,20
CCLE_880,15
CCLE_881,19
CCLE_882,23
CCLE_883,19
CCLE_884,17
CCLE_885,19
CCLE_886,23
CCLE_887,18
CCLE_888,19
CCLE_889,13
CCLE_890,22
CCLE_891,14
CCLE_892,18
CCLE_893,12
CCLE_894,20
CCLE_895,19
CCLE_896,19
CCLE_897,21
CCLE_898,23
CCLE_899,19
CCLE_900,21
CCLE_901,21
CCLE_902,18
CCLE_903,19
CCLE_904,15
CCLE_905,15
CCLE_906,21
CCLE_907,20
CCLE_908,19
CCLE_909,21
CCLE_910,22
CCLE_911,18
CCLE_912,21
CCLE_913,19
CCLE_914,22
CCLE_915,21
CCLE_916,22
CCLE_917,18
CCLE_918,17
CCLE_919,22
CCLE_920,19
CCLE_921,17
CCLE_922,17
CCLE_923,17
CCLE_924,21
CCLE_925,16
CCLE_926,16
CCLE_927,17
CCLE_928,16
CCLE_929,19
CCLE_930,19
CCLE_931,22
CCLE_932,14
CCLE_933,17
CCLE_934,19
CCLE_935,21
